Tier,Samples,Train,Test,Response,Model,R2,RMSE,MAE,MAPE_pct
Unfiltered (all samples),799,559,240,Deflection,RSM,0.6517910941748554,0.0008491045829815952,0.0006785303750850839,122.67852661563263
Unfiltered (all samples),799,559,240,Deflection,SK,0.7601459085693002,0.0007047171055895009,0.00045352938333007996,69.3386584131919
Unfiltered (all samples),799,559,240,Deflection,ARD-UK,0.9925555321504701,0.0001241532455249411,2.4531966656358382e-05,3.5529198533999855
Unfiltered (all samples),799,559,240,Deflection,FBW-UK,0.9804705571030755,0.0002010880094240553,7.948315176381932e-05,14.274646035534335
Unfiltered (all samples),799,559,240,Stress,RSM,0.48068186865877904,273328207.9498426,150830706.0930173,37.66312539508109
Unfiltered (all samples),799,559,240,Stress,SK,0.43172412360752255,285921834.2794862,130677859.78961684,28.78681288148286
Unfiltered (all samples),799,559,240,Stress,ARD-UK,0.8096872141173831,165463304.87899584,100137717.94617072,25.747790674024607
Unfiltered (all samples),799,559,240,Stress,FBW-UK,0.782721906853534,176797321.74093962,105960338.50320025,27.136001230581382
Unfiltered (all samples),799,559,240,Mass,RSM,0.9972718916198485,0.012921762348704006,0.010912208328179929,0.8395384880472726
Unfiltered (all samples),799,559,240,Mass,SK,0.9978124166808439,0.011571062547253815,0.008734402903599114,0.6697392948846975
Unfiltered (all samples),799,559,240,Mass,ARD-UK,0.9987608356189707,0.008708741513227841,0.004873251746620243,0.38412959283298603
Unfiltered (all samples),799,559,240,Mass,FBW-UK,0.9989742890206721,0.007923251503985266,0.004262674732275857,0.341101147514259
